Emp ID,Name Prefix,First Name,,Last Name,Gender,E Mail,Father's Name,Mother's Name,,Date of Birth,Age in Yrs.,Date of Joining,Year of Joining,Age in Company (Years),Salary,Salary% Hike,Phone No. ,Place Name,County,City,State,User Name,Password
850297,Ms.,Shawna,,Buck,F,shawna.buck@gmail.com,Rosario Buck,Keisha Buck,,12-12-1971,45.66,12/18/2010,2010,6.61,119090,17%,702-771-7149,Las Vegas,Clark,Las Vegas,NV,swbuck,ja8?k3BTF^]o@<&
304721,Mr.,Nathaniel,,Burke,M,nathaniel.burke@walmart.com,Derrick Burke,Phoebe Burke,,10/31/1993,23.76,4/25/2017,2017,0.26,117991,14%,231-765-6923,Irons,Lake,Irons,MI,nzburke,tPA@4Wh9Ja$+Ln
412317,Drs.,Elisabeth,,Foster,F,elisabeth.foster@gmail.com,Irwin Foster,Janie Foster,,11/26/1994,22.68,3/27/2017,2017,0.34,161045,28%,270-749-4774,Lexington,Fayette,Lexington,KY,ewfoster,5D.B4IGNkWJfG<~
621375,Mrs.,Briana,,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,,11/24/1975,41.7,2/25/2003,2003,14.43,142616,16%,219-623-8216,Munster,Lake,Munster,IN,bclancaster,I%?JDM;pW
787549,Hon.,Estella,,Potter,F,estella.potter@gmail.com,Booker Potter,Katelyn Potter,,3/13/1995,22.39,10-11-2016,2016,0.79,135706,11%,907-677-8486,Fairbanks,Fairbanks North Star,Fairbanks,AK,elpotter,j4jkEXfC&Rh
520092,Mr.,Lamont,,Woods,M,lamont.woods@hotmail.com,Ignacio Woods,Beulah Woods,,10/13/1991,25.81,11/27/2014,2014,2.67,173027,17%,236-597-8196,Purcellville,Loudoun,Purcellville,VA,llwoods,8tf/YU}>s
795934,Ms.,Melinda,,Lopez,F,melinda.lopez@hotmail.com,Leroy Lopez,Edna Lopez,,9/15/1984,32.89,11/22/2005,2005,11.69,41287,4%,210-396-1493,Stowell,Chambers,Stowell,TX,mllopez,hf*&Gcb[
159108,Mrs.,Shanna,,Silva,F,shanna.silva@gmail.com,Eliseo Silva,Minnie Silva,,6/19/1958,59.15,10/23/1999,1999,17.78,85833,13%,236-373-6712,Herndon,Fairfax,Herndon,VA,susilva,oudj2Bq4vc2_{PU
330816,Ms.,Jasmine,,Freeman,F,jasmine.freeman@gmail.com,Hans Freeman,Renee Freeman,,8/31/1961,55.95,02-01-1983,1983,34.51,154216,1%,423-796-1535,Ocoee,Polk,Ocoee,TN,jjfreeman,Q.8<Q>K*H\*6f
532002,Ms.,Madge,,Sargent,F,madge.sargent@aol.com,Luke Sargent,Judy Sargent,,10-02-1981,35.84,4/13/2006,2006,11.3,133003,20%,217-910-0644,Springfield,Sangamon,Springfield,IL,mvsargent,bc\&B81h
612850,Ms.,Bethany,,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,,10-01-1986,30.84,4/19/2008,2008,9.28,154836,21%,215-970-5881,Montgomery,Lycoming,Montgomery,PA,bzcline,6wvl^0+zl.b/1
483751,Prof.,Reid,,Randolph,M,reid.randolph@gmail.com,Grover Randolph,Erika Randolph,,1/20/1989,28.54,04-08-2017,2017,0.3,124757,17%,209-996-8902,Pacoima,Los Angeles,Pacoima,CA,rfrandolph,Uc@^[]cqnZs
252938,Hon.,Antoine,,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,,2/22/1996,21.44,4/18/2017,2017,0.28,58733,24%,503-361-6334,Canby,Clackamas,Canby,OR,ahwiley,r~4%7~uU|I<4CJ
966375,Dr.,Mathew,,Hodge,M,mathew.hodge@hotmail.com,Prince Hodge,Regina Hodge,,07-05-1995,22.08,11-11-2016,2016,0.71,75584,14%,209-294-7430,Van Nuys,Los Angeles,Van Nuys,CA,mohodge,1E7oKc:M!cKsgq
707520,Mr.,Bernardo,,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,,02-02-1975,42.51,1/26/2005,2005,12.51,118693,15%,319-716-4227,Knoxville,Marion,Knoxville,IA,blaustin,S:An&6n%>s!
673049,Dr.,Cole,,Jensen,M,cole.jensen@aol.com,Terence Jensen,Belinda Jensen,,02-10-1990,27.48,5/30/2011,2011,6.17,98381,22%,405-495-4201,Oklahoma City,Oklahoma,Oklahoma City,OK,cejensen,C@#*|0ODx{7%bc
265124,Ms.,Tonia,,Burns,F,tonia.burns@gmail.com,Johnathan Burns,Brianna Burns,,4/19/1985,32.3,09-12-2014,2014,2.88,102274,19%,209-631-5424,Friant,Fresno,Friant,CA,tjburns,0bGtW[zHT?eSq\N
300693,Mr.,Tod,,Holcomb,M,tod.holcomb@outlook.com,Gail Holcomb,Beulah Holcomb,,6/21/1987,30.12,06-05-2015,2015,2.15,91719,3%,240-364-4220,Patuxent River,St. Mary's,Patuxent River,MD,tnholcomb,205oA^B^
369712,Mrs.,Yesenia,,Guerrero,F,yesenia.guerrero@btinternet.com,Alfred Guerrero,Lori Guerrero,,3/29/1968,49.36,03-03-1994,1994,23.42,150016,4%,240-505-5321,Reisterstown,Baltimore,Reisterstown,MD,ybguerrero,R:%7@}wYr$
913253,Mr.,Carey,,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,,5/22/1972,45.21,10/30/2004,2004,12.75,125232,5%,212-495-4523,New Baltimore,Greene,New Baltimore,NY,cbferrell,U~BdKWV?i.
308617,Mrs.,Aileen,,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,,12-05-1986,30.67,7/18/2009,2009,8.03,179264,13%,308-788-3843,Herman,Washington,Herman,NE,adblanchard,y^c.5-;po\t
766783,Mrs.,Marta,,Cervantes,F,marta.cervantes@gmail.com,Fletcher Cervantes,Hazel Cervantes,,2/17/1971,46.47,9/17/2016,2016,0.86,68134,14%,206-858-9176,Hoquiam,Grays Harbor,Hoquiam,WA,mncervantes,qUe$H{X:O{hd
959506,Mr.,Arthur,,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,,9/21/1970,46.88,1/27/2004,2004,13.51,118621,6%,225-832-0451,Dodson,Winn,Dodson,LA,aqholloway,n<@dGdwIzUwvPk
513011,Ms.,Tara,,Forbes,F,tara.forbes@gmail.com,Davis Forbes,Elvia Forbes,,6/26/1976,41.12,9/24/2009,2009,7.85,85864,26%,319-249-4281,Sheldon,O'Brien,Sheldon,IA,tyforbes,Y%4awtgN^R
290808,Mr.,Josef,,Griffin,M,josef.griffin@yahoo.com,Dee Griffin,Leonor Griffin,,8/14/1976,40.98,2/25/1998,1998,19.43,98030,30%,209-441-9130,Sacramento,Sacramento,Sacramento,CA,jsgriffin,s#m$4tEDNy.WlWS
253588,Ms.,Keri,,Slater,F,keri.slater@apple.com,Tyler Slater,Jeanne Slater,,08-03-1960,57.02,08-09-1994,1994,22.98,149842,10%,207-842-2965,Friendship,Knox,Friendship,ME,kjslater,s//}_Fg#2%3myC
865628,Mr.,Desmond,,Wynn,M,desmond.wynn@hotmail.com,Louis Wynn,Marianne Wynn,,07-09-1992,25.07,10-01-2013,2013,3.82,79476,9%,209-319-3405,Fresno,Fresno,Fresno,CA,drwynn,7<mlnx<s+rU7
583924,Mrs.,Adrienne,,Puckett,F,adrienne.puckett@verizon.net,Fletcher Puckett,Nicole Puckett,,5/22/1975,42.21,2/22/1997,1997,20.44,105366,25%,209-235-0390,Burlingame,San Mateo,Burlingame,CA,ahpuckett,lI+;8<q%jFCwn*
932453,Mrs.,Beatriz,,Knowles,F,beatriz.knowles@gmail.com,Jackson Knowles,Ava Knowles,,2/25/1984,33.44,9/16/2011,2011,5.87,53311,18%,406-923-1326,Arlee,Lake,Arlee,MT,biknowles,HGrMUb9]YhisE
432168,Hon.,Jermaine,,Sykes,M,jermaine.sykes@apple.com,Garth Sykes,Sheila Sykes,,1/18/1990,27.54,5/24/2016,2016,1.18,122631,5%,239-204-8747,Welaka,Putnam,Welaka,FL,jssykes,0U_0M\tj[m6gC
463784,Mr.,Scott,,Best,M,scott.best@cox.net,Chase Best,Wendi Best,,8/24/1990,26.95,12/22/2015,2015,1.6,45210,30%,307-504-4165,Bairoil,Sweetwater,Bairoil,WY,shbest,bvGAV^e7JXQvBt1
721098,Ms.,Isabel,,Espinoza,F,isabel.espinoza@gmail.com,Kennith Espinoza,Louisa Espinoza,,12-09-1971,45.67,10/14/1993,1993,23.8,115858,5%,405-622-8606,Tupelo,Coal,Tupelo,OK,iqespinoza,yWuGDStb?sj7d
